EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,BusinessTravel,DistanceFromHome,PercentSalaryHike,StockOptionLevel,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
1,51,Female,Married,College,Life Sciences,Sales,Healthcare Representative,1,131160,Travel_Rarely,6,11,0,1.0,1.0,6,1,0,0,High,Very High,Good,High,Excellent,No
2,31,Female,Single,Below College,Life Sciences,Research & Development,Research Scientist,1,41890,Travel_Frequently,10,23,1,0.0,6.0,3,5,1,4,High,Medium,Best,Medium,Outstanding,Yes
3,32,Male,Married,Master,Other,Research & Development,Sales Executive,4,193280,Travel_Frequently,17,15,3,1.0,5.0,2,5,0,3,Medium,Medium,Bad,High,Excellent,No
4,38,Male,Married,Doctor,Life Sciences,Research & Development,Human Resources,3,83210,Non-Travel,2,11,3,3.0,13.0,5,8,7,5,Very High,Very High,Better,Medium,Excellent,No
5,32,Male,Single,Below College,Medical,Research & Development,Sales Executive,1,23420,Travel_Rarely,10,12,2,4.0,9.0,2,6,0,4,Very High,Low,Better,High,Excellent,No
6,46,Female,Married,Bachelor,Life Sciences,Research & Development,Research Director,4,40710,Travel_Rarely,8,13,0,3.0,28.0,5,7,7,7,High,Medium,Good,High,Excellent,No
7,28,Male,Single,College,Medical,Research & Development,Sales Executive,2,58130,Travel_Rarely,11,20,1,2.0,5.0,2,0,0,0,Low,High,Bad,High,Outstanding,Yes
8,29,Male,Married,Bachelor,Life Sciences,Research & Development,Sales Executive,2,31430,Travel_Rarely,18,22,3,2.0,10.0,2,0,0,0,Low,Medium,Better,High,Outstanding,No
9,31,Male,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,3,20440,Travel_Rarely,1,21,0,0.0,10.0,2,9,7,8,Medium,Very High,Better,High,Outstanding,No
10,25,Female,Divorced,Master,Medical,Research & Development,Laboratory Technician,4,134640,Non-Travel,7,13,1,1.0,6.0,2,6,1,5,Medium,Low,Better,High,Excellent,No
11,45,Male,Married,College,Medical,Research & Development,Laboratory Technician,2,79910,Travel_Rarely,17,13,2,0.0,21.0,2,20,4,10,High,Very High,Better,Medium,Excellent,No
13,55,Female,Single,Master,Life Sciences,Research & Development,Sales Executive,1,55380,Travel_Rarely,14,17,0,0.0,37.0,2,36,4,13,Very High,Low,Better,High,Excellent,No
14,47,Male,Married,Below College,Medical,Research & Development,Research Scientist,1,57620,Non-Travel,1,11,2,1.0,10.0,4,10,9,9,Low,Medium,Good,Medium,Excellent,Yes
15,28,Male,Married,Bachelor,Life Sciences,Research & Development,Manufacturing Director,1,25920,Travel_Rarely,1,14,0,1.0,5.0,2,5,0,4,Very High,Very High,Good,High,Excellent,No
16,37,Male,Married,Bachelor,Life Sciences,Research & Development,Healthcare Representative,2,53460,Travel_Rarely,1,11,0,4.0,7.0,2,5,0,1,High,Very High,Best,High,Excellent,No
17,21,Male,Single,College,Life Sciences,Research & Development,Laboratory Technician,1,42130,Travel_Rarely,3,12,3,1.0,3.0,3,3,1,0,Very High,High,Best,Medium,Excellent,No
18,37,Male,Divorced,Bachelor,Medical,Research & Development,Sales Executive,2,41270,Non-Travel,1,13,1,2.0,15.0,2,5,0,2,Low,Very High,Better,High,Excellent,No
19,35,Male,Divorced,Master,Life Sciences,Sales,Sales Representative,1,24380,Travel_Rarely,7,16,0,7.0,10.0,5,7,6,2,Medium,Medium,Good,Medium,Excellent,No
20,38,Female,Divorced,Bachelor,Life Sciences,Research & Development,Manager,1,68700,Travel_Rarely,8,11,1,1.0,8.0,5,8,7,7,Low,Low,Better,High,Excellent,No
21,26,Male,Divorced,Master,Other,Research & Development,Laboratory Technician,2,104470,Travel_Frequently,1,18,0,1.0,6.0,3,6,1,4,High,Medium,Bad,High,Excellent,No
22,50,Male,Divorced,Master,Life Sciences,Sales,Research Scientist,1,96670,Travel_Rarely,8,23,0,3.0,28.0,2,10,1,6,Low,Medium,Good,Medium,Outstanding,No
23,53,Female,Married,Master,Life Sciences,Research & Development,Research Scientist,2,21480,Travel_Rarely,11,11,0,3.0,21.0,2,5,1,3,High,High,Good,High,Excellent,No
25,29,Male,Single,Master,Medical,Research & Development,Laboratory Technician,1,65130,Travel_Frequently,16,11,1,1.0,10.0,2,10,0,9,Medium,Very High,Good,High,Excellent,No
26,55,Female,Married,Master,Other,Research & Development,Research Scientist,1,67990,Travel_Rarely,1,11,0,3.0,12.0,2,10,0,8,Medium,Very High,Better,High,Excellent,No
27,26,Female,Married,Bachelor,Life Sciences,Research & Development,Manager,1,162910,Travel_Frequently,9,22,0,1.0,5.0,3,5,3,3,Low,Low,Better,High,Outstanding,No
28,37,Male,Single,Below College,Marketing,Sales,Research Scientist,1,27050,Travel_Rarely,5,11,0,1.0,17.0,2,17,5,7,Very High,Very High,Better,High,Excellent,No
29,44,Male,Divorced,College,Medical,Research & Development,Research Scientist,2,103330,Travel_Frequently,1,14,1,3.0,19.0,2,1,0,0,Very High,High,Bad,Medium,Excellent,Yes
30,38,Female,Divorced,Bachelor,Marketing,Sales,Manager,1,44480,Travel_Rarely,2,12,0,9.0,10.0,3,2,1,2,Very High,Very High,Better,Medium,Excellent,No
31,26,Male,Divorced,Bachelor,Medical,Research & Development,Research Scientist,3,68540,Travel_Rarely,4,11,0,2.0,5.0,5,3,0,2,Low,Medium,Better,Medium,Excellent,Yes
32,28,Male,Single,Bachelor,Other,Research & Development,Human Resources,1,96370,Travel_Rarely,7,13,0,1.0,5.0,6,5,0,2,Very High,Very High,Better,Medium,Excellent,No
33,49,Female,Single,Below College,Medical,Research & Development,Research Scientist,2,35910,Travel_Frequently,1,13,0,9.0,22.0,2,3,1,2,High,Low,Better,High,Excellent,No
34,36,Male,Single,Bachelor,Technical Degree,Sales,Sales Executive,3,54050,Travel_Rarely,5,14,0,4.0,10.0,2,8,7,7,High,Medium,Better,High,Excellent,No
35,31,Male,Divorced,Master,Medical,Research & Development,Sales Executive,1,46840,Travel_Frequently,9,16,1,1.0,2.0,4,2,2,2,Very High,Medium,Good,High,Excellent,No
36,26,Male,Single,Bachelor,Medical,Research & Development,Manager,2,157870,Travel_Rarely,8,12,2,1.0,8.0,5,8,7,4,Very High,Very High,Better,High,Excellent,Yes
37,37,Male,Married,Below College,Marketing,Sales,Laboratory Technician,1,15140,Travel_Frequently,9,14,0,1.0,4.0,3,4,1,2,Medium,Very High,Good,High,Excellent,No
38,42,Male,Married,College,Marketing,Sales,Research Director,3,29560,Travel_Frequently,2,13,0,5.0,23.0,2,20,4,8,High,Medium,Best,High,Excellent,No
39,18,Male,Single,Master,Life Sciences,Research & Development,Sales Executive,1,23350,Travel_Rarely,1,14,2,1.0,0.0,3,0,0,0,High,High,Better,Medium,Excellent,Yes
40,35,Male,Married,College,Life Sciences,Sales,Laboratory Technician,1,51540,Travel_Rarely,20,19,0,0.0,12.0,2,11,6,9,High,Medium,Good,Medium,Excellent,No
42,51,Male,Divorced,Bachelor,Life Sciences,Research & Development,Laboratory Technician,2,56750,Travel_Rarely,2,13,0,5.0,13.0,2,4,1,2,Very High,Medium,Better,Medium,Excellent,No
43,41,Male,Single,Below College,Life Sciences,Research & Development,Laboratory Technician,1,23790,Travel_Rarely,29,12,0,1.0,22.0,6,22,0,4,Very High,Medium,Better,High,Excellent,No
44,18,Male,Single,Bachelor,Life Sciences,Sales,Research Scientist,1,38120,Travel_Rarely,7,15,0,1.0,0.0,3,0,0,0,Very High,High,Better,High,Excellent,No
45,28,Male,Single,Bachelor,Medical,Research & Development,Sales Representative,1,46480,Travel_Rarely,9,23,2,0.0,9.0,2,8,0,7,Medium,Low,Better,Medium,Outstanding,No
46,31,Male,Married,Below College,Technical Degree,Research & Development,Manufacturing Director,1,29360,Travel_Rarely,8,12,1,4.0,10.0,2,8,7,7,Medium,Very High,Good,High,Excellent,No
47,39,Female,Divorced,Master,Marketing,Sales,Human Resources,2,21050,Travel_Rarely,5,20,0,0.0,19.0,3,18,3,7,High,Very High,Good,High,Outstanding,No
48,36,Male,Married,Master,Life Sciences,Research & Development,Sales Executive,1,85780,Non-Travel,5,21,0,7.0,11.0,4,9,0,8,Medium,Medium,Better,High,Outstanding,No
49,32,Male,Married,Bachelor,Marketing,Sales,Laboratory Technician,2,27060,Travel_Rarely,2,21,1,1.0,13.0,4,13,4,8,Very High,High,Good,High,Outstanding,No
50,38,Female,Married,College,Life Sciences,Research & Development,Research Scientist,3,63840,Travel_Rarely,5,19,2,3.0,19.0,4,10,0,1,Low,Medium,Better,Medium,Excellent,No
51,58,Male,Divorced,Bachelor,Life Sciences,Research & Development,Manufacturing Director,2,39680,Non-Travel,2,13,2,2.0,12.0,3,5,1,2,Very High,High,Better,Medium,Excellent,No
52,31,Female,Married,Below College,Technical Degree,Research & Development,Research Scientist,3,99070,Travel_Rarely,20,13,1,0.0,6.0,3,5,0,3,High,Very High,Better,Medium,Excellent,No
53,31,Male,Married,Master,Marketing,Sales,Sales Executive,2,132250,Travel_Rarely,7,21,1,3.0,9.0,2,2,1,0,Low,Low,Better,High,Outstanding,No
54,45,Female,Divorced,Below College,Medical,Research & Development,Sales Executive,1,35400,Travel_Frequently,3,13,0,1.0,24.0,6,24,9,11,Low,Low,Better,High,Excellent,No
55,31,Female,Divorced,Master,Marketing,Sales,Research Scientist,2,28040,Travel_Rarely,16,19,2,0.0,3.0,0,2,2,2,High,Very High,Bad,High,Excellent,No
56,33,Male,Married,Bachelor,Life Sciences,Research & Development,Research Director,4,193920,Travel_Frequently,9,12,1,6.0,12.0,3,10,8,8,Very High,Medium,Better,High,Excellent,No
57,39,Male,Married,Master,Life Sciences,Sales,Sales Executive,1,196650,Travel_Rarely,1,22,1,1.0,21.0,6,21,11,10,High,Low,Better,High,Outstanding,No
58,43,Male,Single,Master,Medical,Research & Development,Research Scientist,4,24390,Travel_Frequently,7,15,0,0.0,9.0,2,8,1,7,High,Very High,Better,High,Excellent,No
59,49,Male,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,3,73140,Travel_Rarely,1,22,0,7.0,25.0,2,7,0,7,High,High,Better,High,Outstanding,No
60,52,Female,Married,Below College,Life Sciences,Research & Development,Research Scientist,2,47740,Travel_Rarely,7,18,1,2.0,11.0,2,8,7,7,High,Medium,Good,High,Excellent,Yes
61,27,Male,Single,Master,Medical,Research & Development,Research Scientist,3,39020,Travel_Rarely,15,22,0,1.0,4.0,2,4,1,2,High,Medium,Good,High,Outstanding,No
62,32,Male,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,3,26620,Travel_Rarely,1,11,1,1.0,13.0,6,13,11,9,High,Medium,Better,Very High,Excellent,No
63,27,Female,Single,College,Medical,Research & Development,Research Director,4,28560,Travel_Rarely,13,12,2,1.0,5.0,5,5,0,4,Very High,High,Better,Very High,Excellent,No
64,31,Male,Divorced,Bachelor,Life Sciences,Sales,Healthcare Representative,2,10810,Travel_Rarely,24,11,3,4.0,13.0,4,7,1,7,Very High,Very High,Better,Very High,Excellent,No
65,32,Male,Single,Bachelor,Technical Degree,Research & Development,Healthcare Representative,2,24720,Travel_Rarely,7,13,0,7.0,10.0,2,7,0,7,Low,Very High,Good,High,Excellent,No
66,28,Male,Married,Master,Medical,Research & Development,Sales Executive,1,56730,Travel_Rarely,9,14,1,5.0,5.0,4,3,2,2,Low,Very High,Good,Medium,Excellent,Yes
67,30,Female,Married,Bachelor,Life Sciences,Research & Development,Research Director,4,41970,Travel_Rarely,13,13,0,1.0,11.0,3,10,1,9,Very High,Very High,Better,High,Excellent,No
68,31,Female,Married,Below College,Life Sciences,Research & Development,Manager,1,97130,Travel_Frequently,2,17,0,1.0,10.0,5,10,8,9,High,High,Better,Medium,Excellent,No
69,39,Female,Married,Master,Medical,Research & Development,Research Scientist,1,20620,Travel_Frequently,19,13,0,1.0,21.0,4,21,13,3,High,Very High,Better,High,Excellent,No
70,39,Female,Married,Below College,Medical,Research & Development,Laboratory Technician,1,42840,Travel_Rarely,1,17,1,4.0,12.0,0,1,0,0,Very High,High,Good,High,Excellent,Yes
71,33,Male,Single,College,Life Sciences,Sales,Research Scientist,4,47880,Travel_Frequently,4,11,1,3.0,9.0,0,7,0,1,Medium,Very High,Good,High,Excellent,No
72,47,Female,Married,Bachelor,Life Sciences,Research & Development,Healthcare Representative,2,59060,Travel_Rarely,4,23,0,4.0,21.0,4,3,1,1,Very High,High,Better,Very High,Outstanding,No
73,43,Female,Divorced,Bachelor,Medical,Research & Development,Research Director,5,38860,Travel_Frequently,14,17,2,1.0,9.0,2,9,0,0,High,High,Best,High,Excellent,No
74,27,Male,Married,Bachelor,Life Sciences,Research & Development,Research Director,1,168230,Non-Travel,2,17,0,0.0,6.0,3,5,1,4,High,Medium,Better,High,Excellent,No
75,54,Male,Single,Master,Life Sciences,Research & Development,Research Scientist,2,29330,Travel_Frequently,1,12,2,3.0,20.0,2,4,0,3,Very High,High,Good,High,Excellent,No
76,43,Female,Married,College,Life Sciences,Research & Development,Manager,2,65000,Travel_Rarely,7,23,0,8.0,10.0,3,1,0,0,High,Low,Good,High,Outstanding,No
77,45,Female,Married,Below College,Marketing,Sales,Sales Executive,1,171740,Travel_Rarely,3,14,1,9.0,12.0,6,10,9,8,Very High,Very High,Better,High,Excellent,No
78,40,Male,Married,Master,Other,Research & Development,Research Scientist,4,50330,Travel_Rarely,2,14,2,2.0,6.0,6,4,0,2,Medium,Very High,Good,High,Excellent,No
79,29,Female,Married,Bachelor,Medical,Research & Development,Research Scientist,1,23070,Travel_Rarely,29,13,1,1.0,7.0,0,7,0,7,Medium,Low,Good,High,Excellent,Yes
80,29,Male,Single,Bachelor,Medical,Human Resources,Sales Representative,3,25870,Travel_Rarely,8,22,2,0.0,4.0,3,3,2,2,Medium,Very High,Better,High,Outstanding,No
81,30,Male,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,2,55070,Travel_Rarely,10,12,2,1.0,10.0,2,10,1,2,Very High,High,Better,Medium,Excellent,No
82,27,Male,Married,College,Medical,Research & Development,Manager,1,43930,Travel_Rarely,11,18,1,1.0,8.0,2,8,0,7,Medium,Medium,Better,Medium,Excellent,No
83,37,Male,Divorced,Master,Life Sciences,Sales,Healthcare Representative,2,133480,Travel_Rarely,1,14,0,7.0,8.0,4,6,0,4,Very High,Very High,Good,High,Excellent,No
84,38,Male,Divorced,Master,Medical,Research & Development,Laboratory Technician,1,65830,Travel_Rarely,28,12,0,0.0,12.0,1,11,2,9,High,Very High,Better,High,Excellent,No
86,29,Male,Divorced,Master,Life Sciences,Research & Development,Sales Executive,3,39780,Travel_Rarely,3,11,0,1.0,7.0,0,7,1,7,Very High,Medium,Better,High,Excellent,No
87,35,Male,Single,College,Technical Degree,Sales,Manager,3,25440,Travel_Rarely,16,13,1,0.0,17.0,3,16,0,13,High,Medium,Better,Very High,Excellent,No
88,23,Male,Divorced,Master,Life Sciences,Research & Development,Manufacturing Director,1,53990,Travel_Rarely,20,23,0,1.0,4.0,2,4,0,2,High,Very High,Good,Medium,Outstanding,No
89,41,Female,Single,College,Life Sciences,Research & Development,Laboratory Technician,1,54870,Travel_Rarely,9,19,2,6.0,8.0,0,5,1,2,Very High,Medium,Better,High,Excellent,No
90,47,Female,Single,Bachelor,Medical,Sales,Laboratory Technician,2,68340,Travel_Frequently,1,16,1,3.0,5.0,2,0,0,0,Medium,High,Better,Very High,Excellent,No
91,42,Male,Single,Master,Life Sciences,Research & Development,Manager,1,10910,Travel_Rarely,3,22,0,2.0,16.0,0,1,0,0,Low,Very High,Better,Low,Outstanding,No
92,29,Male,Married,Master,Marketing,Sales,Human Resources,2,57360,Non-Travel,22,22,0,1.0,4.0,1,4,0,2,Very High,High,Good,Medium,Outstanding,No
93,42,Male,Divorced,Master,Medical,Sales,Research Scientist,3,22260,Travel_Rarely,7,12,1,0.0,4.0,3,3,1,0,High,High,Better,Medium,Excellent,No
94,32,Male,Married,Bachelor,Medical,Research & Development,Research Scientist,2,57470,Travel_Rarely,2,13,0,1.0,8.0,0,8,0,7,High,Medium,Better,High,Excellent,No
95,48,Male,Married,Master,Medical,Sales,Sales Executive,4,98540,Travel_Rarely,13,16,1,3.0,15.0,2,0,0,0,Low,High,Bad,Medium,Excellent,No
96,37,Male,Divorced,Doctor,Technical Degree,Research & Development,Manufacturing Director,2,54670,Travel_Rarely,8,12,0,4.0,13.0,2,7,6,7,High,Low,Better,High,Excellent,No
97,30,Male,Married,Master,Other,Sales,Healthcare Representative,1,53800,Non-Travel,25,21,1,7.0,4.0,0,2,2,2,Very High,High,Best,High,Outstanding,No
98,26,Female,Married,Bachelor,Medical,Sales,Laboratory Technician,5,51510,Travel_Rarely,28,15,3,1.0,8.0,3,8,7,7,High,High,Better,High,Excellent,No
99,42,Female,Single,College,Medical,Sales,Laboratory Technician,1,21330,Travel_Rarely,2,13,2,3.0,14.0,2,1,0,0,Low,Very High,Better,High,Excellent,No
100,21,Female,Single,Bachelor,Medical,Research & Development,Manufacturing Director,4,178750,Travel_Frequently,9,12,0,1.0,3.0,5,3,1,2,Low,Medium,Better,Medium,Excellent,Yes
101,36,Male,Single,Bachelor,Human Resources,Human Resources,Laboratory Technician,2,24320,Non-Travel,28,22,0,4.0,7.0,4,1,0,0,Very High,Very High,Better,Low,Outstanding,No
102,36,Female,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,2,47710,Travel_Frequently,6,13,1,4.0,16.0,2,13,1,12,Low,Very High,Better,High,Excellent,No
103,57,Male,Married,Master,Life Sciences,Research & Development,Research Scientist,5,191610,Travel_Rarely,21,18,0,2.0,15.0,2,3,1,2,Very High,High,Better,Low,Excellent,No
104,40,Male,Married,Bachelor,Other,Research & Development,Sales Executive,2,50870,Travel_Rarely,8,14,1,3.0,10.0,3,7,1,7,Very High,High,Better,High,Excellent,No
105,21,Female,Single,Doctor,Life Sciences,Research & Development,Manager,2,28630,Non-Travel,1,14,0,1.0,3.0,2,3,2,2,Low,Very High,Good,Low,Excellent,No
106,33,Female,Single,College,Human Resources,Human Resources,Manager,5,55610,Travel_Rarely,28,21,1,1.0,1.0,3,1,0,0,Very High,High,Better,Low,Outstanding,Yes
107,37,Male,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,4,21440,Travel_Rarely,5,19,0,6.0,17.0,3,5,0,3,High,Low,Better,Very High,Excellent,No
108,46,Female,Married,Master,Marketing,Sales,Laboratory Technician,2,30650,Non-Travel,2,11,0,2.0,7.0,3,1,0,0,High,High,Best,High,Excellent,No
109,41,Female,Single,Below College,Medical,Research & Development,Research Scientist,1,28100,Travel_Frequently,16,11,0,1.0,8.0,3,8,7,7,Low,Medium,Better,Very High,Excellent,Yes
110,50,Female,Single,Bachelor,Medical,Research & Development,Laboratory Technician,3,98880,Travel_Rarely,9,15,0,6.0,20.0,2,4,1,3,Very High,Very High,Better,High,Excellent,No
111,40,Female,Married,Bachelor,Medical,Research & Development,Healthcare Representative,1,86280,Travel_Rarely,8,20,0,2.0,8.0,2,6,1,0,High,High,Better,Medium,Outstanding,Yes
113,21,Male,Single,College,Human Resources,Human Resources,Laboratory Technician,1,53730,Travel_Rarely,10,12,1,1.0,1.0,2,1,0,0,High,Medium,Better,High,Excellent,Yes
114,29,Female,Single,Bachelor,Life Sciences,Research & Development,Research Director,2,66670,Travel_Rarely,1,12,1,9.0,6.0,6,3,1,2,Very High,Very High,Better,Very High,Excellent,No
115,35,Female,Single,Bachelor,Life Sciences,Research & Development,Sales Executive,3,50030,Travel_Rarely,29,15,0,9.0,10.0,2,1,0,0,High,Medium,Better,High,Excellent,No
117,28,Male,Single,College,Medical,Research & Development,Manager,3,28580,Travel_Rarely,2,12,0,1.0,7.0,2,7,0,7,Medium,Very High,Better,Medium,Excellent,No
118,49,Male,Single,Bachelor,Technical Degree,Sales,Manufacturing Director,2,52040,Travel_Rarely,2,14,1,8.0,26.0,3,5,0,0,Medium,High,Better,High,Excellent,No
119,51,Male,Married,College,Life Sciences,Research & Development,Sales Executive,1,41050,Travel_Rarely,1,22,1,4.0,18.0,2,7,0,7,High,Very High,Good,High,Outstanding,No
120,36,Male,Married,College,Life Sciences,Sales,Sales Executive,1,96790,Travel_Rarely,15,12,0,4.0,6.0,1,2,2,2,Very High,High,Better,High,Excellent,No
121,34,Male,Single,Bachelor,Life Sciences,Research & Development,Sales Representative,1,56170,Non-Travel,7,25,1,8.0,9.0,3,5,0,4,Low,Very High,Good,High,Outstanding,Yes
122,55,Male,Single,Bachelor,Marketing,Sales,Laboratory Technician,1,104480,Travel_Rarely,26,13,0,2.0,30.0,3,5,1,2,High,Very High,Better,High,Excellent,No
