MonthlyIncome,MaritalStatus,NumCompaniesWorked,DistanceFromHome,JobSatisfaction,Attrition
131160,Married,1.0,6,Very High,No
41890,Single,0.0,10,Medium,Yes
193280,Married,1.0,17,Medium,No
83210,Married,3.0,2,Very High,No
23420,Single,4.0,10,Low,No
40710,Married,3.0,8,Medium,No
58130,Single,2.0,11,High,Yes
31430,Married,2.0,18,Medium,No
20440,Married,0.0,1,Very High,No
134640,Divorced,1.0,7,Low,No
79910,Married,0.0,17,Very High,No
55380,Single,0.0,14,Low,No
57620,Married,1.0,1,Medium,Yes
25920,Married,1.0,1,Very High,No
53460,Married,4.0,1,Very High,No
42130,Single,1.0,3,High,No
41270,Divorced,2.0,1,Very High,No
24380,Divorced,7.0,7,Medium,No
68700,Divorced,1.0,8,Low,No
104470,Divorced,1.0,1,Medium,No
96670,Divorced,3.0,8,Medium,No
21480,Married,3.0,11,High,No
65130,Single,1.0,16,Very High,No
67990,Married,3.0,1,Very High,No
162910,Married,1.0,9,Low,No
27050,Single,1.0,5,Very High,No
103330,Divorced,3.0,1,High,Yes
44480,Divorced,9.0,2,Very High,No
68540,Divorced,2.0,4,Medium,Yes
96370,Single,1.0,7,Very High,No
35910,Single,9.0,1,Low,No
54050,Single,4.0,5,Medium,No
46840,Divorced,1.0,9,Medium,No
157870,Single,1.0,8,Very High,Yes
15140,Married,1.0,9,Very High,No
29560,Married,5.0,2,Medium,No
23350,Single,1.0,1,High,Yes
51540,Married,0.0,20,Medium,No
56750,Divorced,5.0,2,Medium,No
23790,Single,1.0,29,Medium,No
38120,Single,1.0,7,High,No
46480,Single,0.0,9,Low,No
29360,Married,4.0,8,Very High,No
21050,Divorced,0.0,5,Very High,No
85780,Married,7.0,5,Medium,No
27060,Married,1.0,2,High,No
63840,Married,3.0,5,Medium,No
39680,Divorced,2.0,2,High,No
99070,Married,0.0,20,Very High,No
132250,Married,3.0,7,Low,No
35400,Divorced,1.0,3,Low,No
28040,Divorced,0.0,16,Very High,No
193920,Married,6.0,9,Medium,No
196650,Married,1.0,1,Low,No
24390,Single,0.0,7,Very High,No
73140,Single,7.0,1,High,No
47740,Married,2.0,7,Medium,Yes
39020,Single,1.0,15,Medium,No
26620,Married,1.0,1,Medium,No
28560,Single,1.0,13,High,No
10810,Divorced,4.0,24,Very High,No
24720,Single,7.0,7,Very High,No
56730,Married,5.0,9,Very High,Yes
41970,Married,1.0,13,Very High,No
97130,Married,1.0,2,High,No
20620,Married,1.0,19,Very High,No
42840,Married,4.0,1,High,Yes
47880,Single,3.0,4,Very High,No
59060,Married,4.0,4,High,No
38860,Divorced,1.0,14,High,No
168230,Married,0.0,2,Medium,No
29330,Single,3.0,1,High,No
65000,Married,8.0,7,Low,No
171740,Married,9.0,3,Very High,No
50330,Married,2.0,2,Very High,No
23070,Married,1.0,29,Low,Yes
25870,Single,0.0,8,Very High,No
55070,Divorced,1.0,10,High,No
43930,Married,1.0,11,Medium,No
133480,Divorced,7.0,1,Very High,No
65830,Divorced,0.0,28,Very High,No
39780,Divorced,1.0,3,Medium,No
25440,Single,0.0,16,Medium,No
53990,Divorced,1.0,20,Very High,No
54870,Single,6.0,9,Medium,No
68340,Single,3.0,1,High,No
10910,Single,2.0,3,Very High,No
57360,Married,1.0,22,High,No
22260,Divorced,0.0,7,High,No
57470,Married,1.0,2,Medium,No
98540,Married,3.0,13,High,No
54670,Divorced,4.0,8,Low,No
53800,Married,7.0,25,High,No
51510,Married,1.0,28,High,No
21330,Single,3.0,2,Very High,No
178750,Single,1.0,9,Medium,Yes
24320,Single,4.0,28,Very High,No
47710,Married,4.0,6,Very High,No
191610,Married,2.0,21,High,No
50870,Married,3.0,8,High,No
28630,Single,1.0,1,Very High,No
55610,Single,1.0,28,High,Yes
21440,Married,6.0,5,Low,No
30650,Married,2.0,2,High,No
28100,Single,1.0,16,Medium,Yes
98880,Single,6.0,9,Very High,No
86280,Married,2.0,8,High,Yes
53730,Single,1.0,10,Medium,Yes
66670,Single,9.0,1,Very High,No
50030,Single,9.0,29,Medium,No
28580,Single,1.0,2,Very High,No
52040,Single,8.0,2,High,No
41050,Married,4.0,1,Very High,No
96790,Married,4.0,15,High,No
56170,Single,8.0,7,Very High,Yes
104480,Single,2.0,26,Very High,No
28970,Divorced,1.0,1,High,No
59680,Married,1.0,3,Medium,No
29910,Married,1.0,16,Medium,No
196360,Married,1.0,1,High,No
11290,Single,9.0,3,Very High,Yes
133410,Divorced,1.0,10,Low,No
43320,Divorced,7.0,6,Medium,No
110310,Divorced,3.0,2,Low,No
44400,Single,2.0,9,Medium,No
46170,Divorced,1.0,10,Medium,No
26470,Married,6.0,6,High,No
63230,Married,4.0,9,Low,No
56770,Married,9.0,28,High,No
21870,Married,1.0,10,Low,No
39770,Divorced,4.0,27,High,No
86330,Single,1.0,7,Very High,No
20080,Married,3.0,1,High,No
44400,Married,1.0,24,Low,No
30670,Divorced,1.0,26,High,No
53210,Married,9.0,20,Low,No
54100,Single,0.0,5,High,No
27820,Married,1.0,7,Low,No
119570,Divorced,1.0,7,Low,No
26600,Married,5.0,5,Low,Yes
33750,Married,2.0,26,High,No
50980,Married,3.0,2,Very High,No
48780,Married,2.0,12,Very High,No
28370,Divorced,2.0,10,High,No
24060,Single,2.0,25,Very High,No
22690,Married,5.0,10,Low,No
41080,Divorced,2.0,19,High,No
132060,Married,0.0,18,Very High,No
104220,Single,1.0,27,Medium,Yes
137440,Divorced,0.0,5,High,Yes
49070,Married,1.0,3,Very High,No
34820,Married,0.0,26,High,No
24360,Divorced,1.0,3,Very High,No
23800,Married,4.0,15,Very High,No
194310,Married,1.0,8,High,No
17900,Married,5.0,19,Medium,Yes
76440,Single,1.0,4,Very High,Yes
51310,Married,0.0,2,Low,No
63060,Divorced,3.0,2,Very High,No
47870,Married,0.0,10,High,No
188800,Single,0.0,10,Very High,No
23390,Married,4.0,16,Low,No
135700,Divorced,5.0,1,Very High,No
67120,Married,6.0,4,High,No
54060,Single,0.0,15,High,No
89380,Single,7.0,2,High,No
24390,Divorced,3.0,8,High,No
88370,Married,2.0,2,Very High,No
