EmployeeID,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,BusinessTravel,DistanceFromHome,StockOptionLevel,NumCompaniesWorked,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,PerformanceRating,Attrition
1,1,1,1,0,0,0,1,131160,1,6,0,1.0,0,2,3,2,0,0
2,1,0,0,0,1,1,1,41890,2,10,1,0.0,1,2,1,3,1,1
3,0,1,3,1,1,2,4,193280,2,17,3,1.0,0,1,1,0,0,0
4,0,1,4,0,1,3,3,83210,0,2,3,3.0,7,3,3,1,0,0
5,0,0,0,2,1,2,1,23420,1,10,2,4.0,0,3,0,1,0,0
6,1,1,2,0,1,4,4,40710,1,8,0,3.0,7,2,1,2,0,0
7,0,0,1,2,1,2,2,58130,1,11,1,2.0,0,0,2,0,1,1
8,0,1,2,0,1,2,2,31430,1,18,3,2.0,0,0,1,1,1,0
9,0,1,2,0,1,5,3,20440,1,1,0,0.0,7,1,3,1,1,0
10,1,2,3,2,1,5,4,134640,0,7,1,1.0,1,1,0,1,0,0
11,0,1,1,2,1,5,2,79910,1,17,2,0.0,4,2,3,1,0,0
13,1,0,3,0,1,2,1,55380,1,14,0,0.0,4,3,0,1,0,0
14,0,1,0,2,1,1,1,57620,0,1,2,1.0,9,0,1,2,0,1
15,0,1,2,0,1,6,1,25920,1,1,0,1.0,0,3,3,2,0,0
16,0,1,2,0,1,0,2,53460,1,1,0,4.0,0,2,3,3,0,0
17,0,0,1,0,1,5,1,42130,1,3,3,1.0,1,3,2,3,0,0
18,0,2,2,2,1,2,2,41270,0,1,1,2.0,0,0,3,1,0,0
19,0,2,3,0,0,7,1,24380,1,7,0,7.0,6,1,1,2,0,0
20,1,2,2,0,1,8,1,68700,1,8,1,1.0,7,0,0,1,0,0
21,0,2,3,1,1,5,2,104470,2,1,0,1.0,1,2,1,0,0,0
22,0,2,3,0,0,1,1,96670,1,8,0,3.0,1,0,1,2,1,0
23,1,1,3,0,1,1,2,21480,1,11,0,3.0,1,2,2,2,0,0
25,0,0,3,2,1,5,1,65130,2,16,1,1.0,0,1,3,2,0,0
26,1,1,3,1,1,1,1,67990,1,1,0,3.0,0,1,3,1,0,0
27,1,1,2,0,1,8,1,162910,2,9,0,1.0,3,0,0,1,1,0
28,0,0,0,3,0,1,1,27050,1,5,0,1.0,5,3,3,1,0,0
29,0,2,1,2,1,1,2,103330,2,1,1,3.0,0,3,2,0,0,1
30,1,2,2,3,0,8,1,44480,1,2,0,9.0,1,3,3,1,0,0
31,0,2,2,2,1,1,3,68540,1,4,0,2.0,0,0,1,1,0,1
32,0,0,2,1,1,3,1,96370,1,7,0,1.0,0,3,3,1,0,0
33,1,0,0,2,1,1,2,35910,2,1,0,9.0,1,2,0,1,0,0
34,0,0,2,4,0,2,3,54050,1,5,0,4.0,7,2,1,1,0,0
35,0,2,3,2,1,2,1,46840,2,9,1,1.0,2,3,1,2,0,0
36,0,0,2,2,1,8,2,157870,1,8,2,1.0,7,3,3,1,0,1
37,0,1,0,3,0,5,1,15140,2,9,0,1.0,1,1,3,2,0,0
38,0,1,1,3,0,4,3,29560,2,2,0,5.0,4,2,1,3,0,0
39,0,0,3,0,1,2,1,23350,1,1,2,1.0,0,2,2,1,0,1
40,0,1,1,0,0,5,1,51540,1,20,0,0.0,6,2,1,2,0,0
42,0,2,2,0,1,5,2,56750,1,2,0,5.0,1,3,1,1,0,0
43,0,0,0,0,1,5,1,23790,1,29,0,1.0,0,3,1,1,0,0
44,0,0,2,0,0,1,1,38120,1,7,0,1.0,0,3,2,1,0,0
45,0,0,2,2,1,7,1,46480,1,9,2,0.0,0,1,0,1,1,0
46,0,1,0,4,1,6,1,29360,1,8,1,4.0,7,1,3,2,0,0
47,1,2,3,3,0,3,2,21050,1,5,0,0.0,3,2,3,2,1,0
48,0,1,3,0,1,2,1,85780,0,5,0,7.0,0,1,1,1,1,0
49,0,1,2,3,0,5,2,27060,1,2,1,1.0,4,3,2,2,1,0
50,1,1,1,0,1,1,3,63840,1,5,2,3.0,0,0,1,1,0,0
51,0,2,2,0,1,6,2,39680,0,2,2,2.0,1,3,2,1,0,0
52,1,1,0,4,1,1,3,99070,1,20,1,0.0,0,2,3,1,0,0
53,0,1,3,3,0,2,2,132250,1,7,1,3.0,1,0,0,1,1,0
54,1,2,0,2,1,2,1,35400,2,3,0,1.0,9,0,0,1,0,0
55,1,2,3,3,0,1,2,28040,1,16,2,0.0,2,2,3,0,0,0
56,0,1,2,0,1,4,4,193920,2,9,1,6.0,8,3,1,1,0,0
57,0,1,3,0,0,2,1,196650,1,1,1,1.0,11,2,0,1,1,0
58,0,0,3,2,1,1,4,24390,2,7,0,0.0,1,2,3,1,0,0
59,0,0,2,0,1,6,3,73140,1,1,0,7.0,0,2,2,1,1,0
60,1,1,0,0,1,1,2,47740,1,7,1,2.0,7,2,1,2,0,1
61,0,0,3,2,1,1,3,39020,1,15,0,1.0,1,2,1,2,1,0
62,0,1,2,0,1,1,3,26620,1,1,1,1.0,11,2,1,1,0,0
63,1,0,1,2,1,4,4,28560,1,13,2,1.0,0,3,2,1,0,0
64,0,2,2,0,0,0,2,10810,1,24,3,4.0,1,3,3,1,0,0
65,0,0,2,4,1,0,2,24720,1,7,0,7.0,0,0,3,2,0,0
66,0,1,3,2,1,2,1,56730,1,9,1,5.0,2,0,3,2,0,1
67,1,1,2,0,1,4,4,41970,1,13,0,1.0,1,3,3,1,0,0
68,1,1,0,0,1,8,1,97130,2,2,0,1.0,8,2,2,1,0,0
69,1,1,3,2,1,1,1,20620,2,19,0,1.0,13,2,3,1,0,0
70,1,1,0,2,1,5,1,42840,1,1,1,4.0,0,3,2,2,0,1
71,0,0,1,0,0,1,4,47880,2,4,1,3.0,0,1,3,2,0,0
72,1,1,2,0,1,0,2,59060,1,4,0,4.0,1,3,2,1,1,0
73,1,2,2,2,1,4,5,38860,2,14,2,1.0,0,2,2,3,0,0
74,0,1,2,0,1,4,1,168230,0,2,0,0.0,1,2,1,1,0,0
75,0,0,3,0,1,1,2,29330,2,1,2,3.0,0,3,2,2,0,0
76,1,1,1,0,1,8,2,65000,1,7,0,8.0,0,2,0,2,1,0
77,1,1,0,3,0,2,1,171740,1,3,1,9.0,9,3,3,1,0,0
78,0,1,3,1,1,1,4,50330,1,2,2,2.0,0,1,3,2,0,0
79,1,1,2,2,1,1,1,23070,1,29,1,1.0,0,1,0,2,0,1
80,0,0,2,2,2,7,3,25870,1,8,2,0.0,2,1,3,1,1,0
81,0,2,2,0,1,1,2,55070,1,10,2,1.0,1,3,2,1,0,0
82,0,1,1,2,1,8,1,43930,1,11,1,1.0,0,1,1,1,0,0
83,0,2,3,0,0,0,2,133480,1,1,0,7.0,0,3,3,2,0,0
84,0,2,3,2,1,5,1,65830,1,28,0,0.0,2,2,3,1,0,0
86,0,2,3,0,1,2,3,39780,1,3,0,1.0,1,3,1,1,0,0
87,0,0,1,4,0,8,3,25440,1,16,1,0.0,0,2,1,1,0,0
88,0,2,3,0,1,6,1,53990,1,20,0,1.0,0,2,3,2,1,0
89,1,0,1,0,1,5,1,54870,1,9,2,6.0,1,3,1,1,0,0
90,1,0,2,2,0,5,2,68340,2,1,1,3.0,0,1,2,1,0,0
91,0,0,3,0,1,8,1,10910,1,3,0,2.0,0,0,3,1,1,0
92,0,1,3,3,0,3,2,57360,0,22,0,1.0,0,3,2,2,1,0
93,0,2,3,2,0,1,3,22260,1,7,1,0.0,1,2,2,1,0,0
94,0,1,2,2,1,1,2,57470,1,2,0,1.0,0,2,1,1,0,0
95,0,1,3,2,0,2,4,98540,1,13,1,3.0,0,0,2,0,0,0
96,0,2,4,4,1,6,2,54670,1,8,0,4.0,6,2,0,1,0,0
97,0,1,3,1,0,0,1,53800,0,25,1,7.0,2,3,2,3,1,0
98,1,1,2,2,0,5,5,51510,1,28,3,1.0,7,2,2,1,0,0
99,1,0,1,2,0,5,1,21330,1,2,2,3.0,0,0,3,1,0,0
100,1,0,2,2,1,6,4,178750,2,9,0,1.0,1,0,1,1,0,1
101,0,0,2,5,2,5,2,24320,0,28,0,4.0,0,3,3,1,1,0
102,1,1,2,0,1,1,2,47710,2,6,1,4.0,1,0,3,1,0,0
103,0,1,3,0,1,1,5,191610,1,21,0,2.0,1,3,2,1,0,0
104,0,1,2,1,1,2,2,50870,1,8,1,3.0,1,3,2,1,0,0
105,1,0,4,0,1,8,2,28630,0,1,0,1.0,2,0,3,2,0,0
106,1,0,1,5,2,8,5,55610,1,28,1,1.0,0,3,2,1,1,1
107,0,1,2,0,1,1,4,21440,1,5,0,6.0,0,2,0,1,0,0
108,1,1,3,3,0,5,2,30650,0,2,0,2.0,0,2,2,3,0,0
109,1,0,0,2,1,1,1,28100,2,16,0,1.0,7,0,1,1,0,1
110,1,0,2,2,1,5,3,98880,1,9,0,6.0,1,3,3,1,0,0
111,1,1,2,2,1,0,1,86280,1,8,0,2.0,1,2,2,1,1,1
113,0,0,1,5,2,5,1,53730,1,10,1,1.0,0,2,1,1,0,1
114,1,0,2,0,1,4,2,66670,1,1,1,9.0,1,3,3,1,0,0
115,1,0,2,0,1,2,3,50030,1,29,0,9.0,0,2,1,1,0,0
